sentence,mdd,t_depth,bigrams,words,letters,word_avg,numbers,symbols,if_question,punctuation,sym_hashtag,sym_shtrudel,sym_dollar,sym_ampersand,sym_percend,sym_star,sym_tilda,sym_math,sym_logic,sym_brackets,sym_num,sym_quotes,sym_slashes,NN,VB,JJ,PREPOSITION,DEF,CONJ,BN,NNP,NNT,TEMP,RB,CC,AT,QW,REL,PRP,IN,DTT,DT,MD,stopwords,result
"כיוון שעבדת 15 שנה, את זכאית לקצבה, בתנאי שאת עונה על יתר תנאי הזכאות.",9.57,20,13,14,54,3.857,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,4,2,0,0,0,6,0,0,2,2,0,2,0,2,2,0,2,2,0
חובת תשלום דמי הביטוח בעדך חלה על המעסיק שלך.,6.64,13,8,9,36,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,4,0,2,0,6,0,0,0,0,0,2,0,4,0,0,0,1,0
"מי שהיה מבוטח יותר מ- 10 שנים, זכאי לתוספת ותק.",6.76,12,9,10,35,3.5,2,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,2,0,0,0,2,4,0,0,0,0,2,2,0,0,2,0,2,2,0
עליך להגיש תביעה לקצבת שאירים בסניף הביטוח הלאומי.,5.27,12,7,8,42,5.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,4,4,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0
"אישה רווקה מבוטחת, גם אם היא לא עובדת.",4.34,9,7,8,29,3.625,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,4,0,0,0,4,2,0,0,0,2,0,0,0,0,4,0
"אישה נשואה מבוטחת, אם היא עובדת מחוץ למשק ביתה.",5.43,11,8,9,37,4.111,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,4,0,0,4,0,2,0,0,2,0,0,0,2,0,0,0,0,3,0
תקופת ביטוח של 12 שנה מזכה בקצבה.,4.44,9,6,7,26,3.714,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
"הביטוח לאומי משלם את הקצבה בהמחאה, בדואר מקוון או בכרטיס נטען רק לאנשים שיש להם חובות, והם אינם יכולים לפתוח חשבון בבנק.",18.31,37,21,22,96,4.364,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,4,10,10,2,0,0,0,0,2,2,2,0,2,2,2,0,0,2,5,1
"עליך להשלים את יתר הנתונים ולתקן נתונים, אם אינם נכונים.",6.19,13,9,10,45,4.5,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,2,2,2,0,2,0,0,2,2,0,0,0,0,0,0,0,3,0
את הטופס יש להגיש לסניף המוסד לביטוח לאומי.,5.5,11,7,8,35,4.375,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,4,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,2,0
תוספת השלמת הכנסה משולמת מחודש הגשת התביעה.,4.86,10,6,7,36,5.143,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,4,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"אם לאחר שנה מיום שעלה לארץ, אין לו שום הכנסות, הוא יכול להגיש תביעה לקבלת קצבת הבטחת הכנסה.",13.62,27,17,18,71,3.944,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,0,6,4,0,0,0,6,0,0,2,0,0,2,2,4,2,0,2,5,0
עם פרישתך תהיה זכאי לקצבת אזרח ותיק.,4.44,8,6,7,29,4.143,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,0
"בכל מקרה יש להמציא אישור על הלימודים או השירות, כדי שתוכל להמשיך ולקבל את התוספת בעבור הבת.",11.27,25,16,17,73,4.294,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,2,8,2,0,0,0,0,0,2,2,0,2,0,6,2,0,4,4,1
עליך לשלם דמי ביטוח כל זמן שאינך מקבל קצבת זקנה.,4.79,10,9,10,38,3.8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,6,0,0,0,0,0,2,0,0,2,0,0,2,0
הביטוח הלאומי מקבל את התביעות לדמי לידה ממשרד החינוך באופן אוטומטי.,7.62,17,10,11,56,5.091,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,4,6,8,0,2,0,4,0,0,0,2,0,0,0,0,0,0,0,1,0
יש אפשרות לחשב את דמי לידה שלך לפי השכר בתקופה ששכרך היה מלא.,8.1,17,12,13,48,3.692,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,2,2,4,0,0,0,2,0,0,0,2,0,4,0,2,0,0,0,4,0
כיום מענק הלידה משולם ישירות לחשבון הבנק שאליו מועברת קצבת הילדים.,8.21,17,10,11,55,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,6,0,4,0,6,0,4,0,0,0,2,0,2,0,0,0,0,0
"ידוע בציבור יכול להתחלק עם בת הזוג בחופשת הלידה, בתנאי שהוא עונה על ההגדרה בחוק של ידוע בציבור.",14.33,31,17,18,76,4.222,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,18,2,0,10,12,0,2,0,4,0,0,0,0,0,2,2,4,0,0,2,4,1
נא בדקי אם את זכאית לימי מחלה מהמעסיק שלך.,6.04,13,8,9,33,3.667,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,2,0,0,0,4,0,0,0,2,0,2,0,2,0,0,2,2,0
אם פונדקאית זכאית לתשלום מענק לידה ומענק אשפוז.,5.13,10,7,8,39,4.875,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,2,0,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,1,0
את הטופס עלייך למסור לבית החולים בעת שתירשמתי ללידה או כשתגיעי ללידה.,10.32,21,11,12,57,4.75,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,8,8,0,2,2,4,2,0,2,2,0,0,0,0,0,0,0,2,1
המעסיק האחרון צריך למלא את חלקו בטופס התביעה.,5.81,12,7,8,37,4.625,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,2,6,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2,1,0
אם ברשותך תעודת זהות ביומטרית חשוב להפעילה טרם מילוי הטופס.,5.27,12,9,10,49,4.9,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,2,0,0,2,6,0,2,2,0,0,0,0,0,0,0,2,1,1
יש למלא טופס נפרד עבור כל בן משפחה.,3.15,7,7,8,27,3.375,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,2,2,0
אתה תלמיד ישיבה.,1.54,2,2,3,13,4.333,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0
אתה בן קיבוץ או מושב שיתופי.,3.04,5,5,6,22,3.667,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,2,0
"הטופס מיועד להורה לילד נכה, שמעוניין להגיש תביעה לגמלת נכות עבור ילדו.",8.39,18,11,12,57,4.75,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,6,4,0,2,0,4,0,0,0,0,0,2,0,2,0,0,2,0,1
על כלי הרכב להיות רשום בבעלות פרטית של אדם אחד בלבד.,5.91,12,10,11,41,3.727,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,4,2,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,3,0
"על הרכב לא רשומים שעבוד, עיקול או כל מגבלה אחרת המונעת את ביצוע העברת הבעלות.",9.4,19,14,15,61,4.067,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0,4,0,4,0,4,0,2,2,2,0,2,0,2,2,0,0,6,1
לאחר תשלום אגרת העברת הבעלות יוצג לקונה אישור התשלום והמוכר יקבל הודעה באזור האישי כי העברת הבעלות בוצעה בהצלחה וניתן לצפות באישור התשלום.,17.21,36,22,23,115,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8,2,8,14,4,0,0,14,0,0,2,0,0,0,0,2,0,0,2,1,1
הזכאות לקבלת החזר אגרת רישוי בגין הפקדת רישיון רכב הינה רק לכלי רכב שאגרת הרישוי שולמה.,10.09,22,15,16,71,4.438,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,4,6,0,0,0,16,0,2,0,0,0,2,0,2,0,0,0,1,1
אישור שהחתום על ההצהרה הינו מורשה חתימה בחברה.,6.04,13,7,8,38,4.75,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,6,0,2,0,0,0,0,0,0,0,2,0,2,0,0,0,1,1
השירות ניתן ללא תשלום.,2.54,4,3,4,18,4.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
עליכם לשאת את ההיתר בעת הנסיעה ברכב.,5.35,12,6,7,29,4.143,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,4,6,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,1
נדרשת נוכחות אישית של בעל הכרטיס.,2.78,7,5,6,27,4.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
שירות זה מאפשר להגיש בקשה לקבלת אישור חוזר לוויתור על האזרחות הישראלית.,7.93,17,11,12,59,4.917,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,4,4,6,0,2,0,2,0,0,0,0,0,0,2,2,0,0,0,2,1
מומלץ להתעדכן בסכומים המפורטים בלוח האגרות.,4.87,11,5,6,37,6.167,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,4,4,0,2,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0
רשאים לבקש הורים עבור ילדיהם שטרם מלאו להם 18 שנה.,5.12,12,9,10,40,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,2,0,0,0,2,0,4,0,0,2,1,0
רישיון נהיגה אינו מהווה מסמך מזהה.,3.54,6,5,6,28,4.667,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
האיתור מתבצע במספר שלבים.,3.04,6,3,4,21,5.25,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
רק לאחר קבלת ההרשאה תתבצע התקשרות של המעסיקים עם המועמדים.,6.19,13,9,10,48,4.8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,6,0,0,0,2,0,2,0,0,0,0,0,4,0,0,0,3,0
המרכז לקליטה במדע שולח הרשאה למעסיק.,6.4,13,5,6,30,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"אין לראות בקבלה לעבודה של מדענים מתוך המאגר, כהתחייבות לקבלת סיוע כספי.",7.44,18,11,12,58,4.833,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,2,8,4,0,0,0,2,0,0,0,0,0,0,0,2,0,0,2,2,1
על מנת לקבל את הסיוע יש לעבור מספר שלבים.,5.05,10,8,9,32,3.556,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,2,0,0,0,2,0,0,0,2,0,0,0,2,2,0,2,3,0
הסיוע הכספי מותנה באישור ועדה ובזמינות תקציבית.,6.33,12,6,7,40,5.714,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
עכשיו גם אתם יכולים לחשב את צריכת החשמל שלכם.,5.29,10,8,9,36,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,0,0,2,0,4,0,2,0,0,2,2,0,0,2,4,0
"אגב, רבים טועים לחשוב שחברת החשמל היא האחראית לקביעת תעריף החשמל.",8.6,17,10,11,53,4.818,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,2,6,0,4,0,6,0,0,0,0,0,2,0,2,0,0,0,1,1
גם שימוש נכון במכשירים יכול להוזיל את חשבון החשמל.,5.89,12,8,9,41,4.556,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,2,4,0,0,0,2,0,2,0,2,0,0,0,0,0,0,2,3,0
תחום נוסף שבו אפשר לחסוך לא מעט בחשבון החשמל הוא תאורה.,7.74,15,10,11,44,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,2,2,0,0,0,2,0,4,0,0,0,2,0,2,0,0,2,3,1
חשוב לזכור שכל תוספת של מעלה מגדילה את הצריכה ב-3 עד 5 אחוזים.,7.04,16,12,14,48,3.429,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,0,0,2,0,2,2,0,0,2,0,2,0,2,0,2,2,0,2,3,1
.חדשנות בחברת החשמל יכולה להביא הרבה תועלת לציבור הישראלי,6.76,14,8,9,48,5.333,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,2,4,6,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,1,0
אי אפשר להסתדר בלי מכשירי קירור דולקים בבית בחום הישראלי של יולי-אוגוסט.,8.04,16,11,13,59,4.538,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,0,4,4,0,2,4,4,0,0,0,0,0,0,0,2,0,0,2,3,0
"כן, זה קשור למלחמה באוקראינה – אבל לא רק.",5.97,10,8,8,30,3.75,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,2,2,0,0,6,2,0,0,0,2,0,0,0,0,3,0
"שמעתי אזעקות, אבל חשבתי רק איך להחזיר את החשמל מהר.",5.43,11,9,10,40,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,2,0,0,0,0,0,6,2,2,0,0,0,0,0,0,0,4,0
אני הולכת ברחובות תל אביב ומרגישה גאווה.,4.55,8,6,7,33,4.714,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,2,4,0,4,0,0,0,0,0,0,2,0,0,0,0,1,0
אנחנו לוחמי החשמל של ישראל.,2.46,5,4,5,22,4.4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,2,0
חשוב שהחיבור של מערכת הטעינה ללוח החשמל הביתי ייעשה בהתאם להנחיות.,9.33,20,10,11,55,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,2,6,10,0,0,0,4,0,0,0,0,0,2,0,0,0,0,2,1,1
חברת החשמל בוחנת בימים אלה מספר פיילוטים חדשניים ומסקרנים.,5.5,11,8,9,49,5.444,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,2,2,2,4,0,2,0,0,0,0,0,0,2,0,2,0,0,1,0
"הגדלת מספר בני הנוער המשתתפים בפעילויות הכנה לצהל, למען הגברת המוטיבציה לשירות משמעותי בצהל.",10.88,23,13,16,77,4.812,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,10,2,4,6,10,0,2,2,4,0,0,0,0,0,2,0,2,2,0,0,0,1
הרחבת הפעילות לגיוס בני הנוער האתיופי ומניעת נשירתם במהלך השירות.,8.21,17,9,10,55,5.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,4,8,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
חיזוק והעצמת בני הנוער במסגרת המכינות הקדם-צבאיות לקראת שירות משמעותי בצהל ולהובלה בחברה הישראלית.,13.27,27,13,16,83,5.188,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,14,2,4,8,10,4,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,1
שיפור תהליכי עבודה באגף תוך ביצוע בקרה על איכות המשימות ועמידה ביעדים.,7.99,18,11,12,58,4.833,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,4,6,2,0,0,8,0,0,0,0,0,0,0,4,0,0,0,1,1
הרחבת הפעילות לגיוס בני נוער חרדים לצהל תוך יצירת תכניות ומסלולי המשך.,7.69,16,11,13,58,4.462,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,2,2,4,2,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,1
הרחבת הפעילות לגיוס בני נוער יהודי מהתפוצות והכנתם להשתלבות בשירות הצבאי ובחברה הישראלית.,12.12,25,12,13,76,5.846,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,4,10,10,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1
טיפול במשאב האנושי.​,2.61,6,2,3,16,5.333,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
התנעת תהליך הכרה והפעלת ישיבות ההסדר בהתאם לסוג הישיבה והמסלול אשר אליו היא שייכת.,10.26,22,13,14,68,4.857,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,4,6,4,0,0,10,0,0,2,0,0,0,0,2,0,0,0,2,1
"שנת שירות היא שנת התנדבות לפני השירות הצבאי המתבצעת במסגרת תנועות הנוער, ארגוני הנוער והתנועות המיישבות.",13.46,25,15,16,87,5.438,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,2,10,2,4,0,8,0,0,0,0,0,4,0,2,0,0,0,2,1
"את מתנדבי שנת השירות תוכלו לפגוש בסניפי תנועות הנוער וארגוני הנוער, במועדוני הנוער, בפנימיות, כפרי הנוער ומרכזי קליטה, בקיבוצים, במושבים ואף בקהילות יהודיות ברחבי העולם.",24.21,49,24,25,139,5.56,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,22,2,2,14,16,6,0,0,18,0,0,2,2,0,0,0,0,0,0,2,1,1
"בחלק מתנועות וארגוני הנוער מתחילים החניכים את שנת השירות במסלול רגיל, ובמהלך השנה מוצע להם להצטרף יחדיו לגרעין נחל ולהמשיך את המסלול הצבאי יחד במסגרת הנחל.",21.87,45,25,28,128,4.571,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,24,6,4,12,16,6,4,0,4,0,4,0,4,0,0,0,2,0,0,0,3,1
הפעילות בשנת השירות היא מגוונת ומשתנה בין התנועות והארגונים השונים המפעילים אותה.,10.92,21,11,12,69,5.75,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,6,2,10,4,2,0,2,0,0,0,2,0,2,0,2,0,0,0,2,1
"קיימים ארגונים שמקיימים שנת שירות בעזרה לאוכלוסיות חלשות בחברה הישראלית, למשל, ילדים בעלי מוגבלויות, נוער בסיכון, תושבי אזורי קו עימות ועוד.",16.33,33,20,21,115,5.476,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,6,8,6,2,2,0,10,0,2,2,0,0,2,0,0,0,0,0,0,1
כשאתה נותן ומתרוקן זו הקרבה. כשאתה נותן ומתמלא זו אהבה.,3.37,5,9,10,44,4.4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,4,0,0,2,0,0,0,0,0,4,0,0,0,0,0,1
"חיזוק הקשר, הזיקה ותחושת השייכות של המגזר הבדואי למדינת ישראל באמצעות פעילות חינוכית חברתית ערכית ושירות למען הקהילה, החברה והמדינה, וכן, פעילות לעידוד הגיוס לצהל.",22.74,45,24,26,134,5.154,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0,8,4,18,8,0,4,8,0,2,0,0,0,0,0,4,0,0,0,2,1
בתחילת שנת הלימודים מתפרסמת התכנית ומציעה לבתי הספר להצטרף ולהירשם למצעד הספרים.,10.14,21,11,13,68,5.231,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,8,4,0,6,8,4,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1
כל בית-ספר יקיים במועד שיקבע טקס חגיגי לציון פתיחת מצעד הספרים ויחשוף את הספרים לתלמידים.,12.47,25,14,16,73,4.562,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,12,6,2,6,8,2,0,0,8,0,0,0,2,0,2,0,0,2,0,0,2,1
"קריאת ספרים מתוך הרשימות המוצעות וספרים נוספים וקיום פעילויות מגוונות, על פי תכנית הפעילות הבית ספרית שנקבעה.",11.66,24,16,17,91,5.353,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,2,6,0,8,4,0,0,8,0,0,0,0,0,2,0,4,0,0,0,1,1
"מדי שנה, בחודש מאי מתקיים יום הבחירות.",4.71,11,6,7,30,4.286,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,4,2,0,4,2,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0
הנתונים נאספים ומסוכמים ונקבעת רשימה מדורגת של הספרים הנבחרים. התוצאות מתפרסמות באתר הספריות ובאמצעי התקשורת.,6.11,13,14,15,93,6.2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,4,6,2,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1
במסגרת התכנית גובשה מעטפת פדגוגית שתכליתה חינוך איכותי יותר המותאם לצרכי הילד.,8.41,18,11,12,66,5.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,4,4,4,0,2,0,4,0,2,0,0,0,4,0,0,0,0,0,1,1
הרפורמה כוללת תקצוב סייעת שנייה בגן ילדים שבו מתחנכים לפחות 30 ילדים וכן תקציב העשרה לגני ילדים רשמיים העומדים בתנאים המפורטים.,15.23,31,20,21,106,5.048,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,6,6,2,8,0,6,0,4,0,0,0,6,0,2,0,0,0,0,1
חיזוק התפיסה הקהילתית והידוק הקשר בין הצוות להורים.,7.23,15,7,8,43,5.375,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,2,10,2,0,0,4,0,0,0,0,0,0,0,2,0,0,0,1,0
